job,answer
fabr. de casquettes,industrie textile
g.-front.,"construction,charpenterie"
margeur,industrie du papier
électr.,"gaz,eau,éléctricité"
coiffeur,commerce de détail
appar.,réparations
coiffeur,commerce de détail
épic.,produits alimentaires
ing.,industrie chimique
prof.,bureaux de consultation
relieur,industrie du papier
peintre,arts graphiques
électric.,"gaz,eau,éléctricité"
nettoyeur,réparations
nég.,"banques,établissements financiers"
minotier,produits alimentaires
prof. de langues,bureaux de consultation
jardin.,"journaliers,entretien"
bur,réparations
veuve,employées pour le ménage et la ferme
cout.,industrie textile
télég.,transports
gouver.,administration publique
homme de lettres,arts graphiques
instit.,administration publique
sténog.,bureaux de consultation
archit.,"construction,charpenterie"
journ.,"journaliers,entretien"
journalier,"journaliers,entretien"
dentiste,bureaux de consultation
m. d’ouvrages,"construction,charpenterie"
fabr. de biscuits,produits alimentaires
brod.,industrie textile
empl. C. F. F.,"employés pour tous,célibataires"
g. boucher,produits alimentaires
architecte,"construction,charpenterie"
machiniste,industrie des métaux
cercueils,"bois,liège,meubles"
direct. Banque fédérale,"banques,établissements financiers"
nég.,"banques,établissements financiers"
cuisin.,produits alimentaires
pierr.,pierre et terre
agriculteur.,employées pour le ménage et la ferme
élect.,"gaz,eau,éléctricité"
emp.,"employés pour tous,célibataires"
aiguill. CFF,transports
téléph.,"agences,locations,consultations"
médecin,"agences,locations,consultations"
secrét. de la protect. ouvrière,administration publique
charpent.,"construction,charpenterie"
magas.,commerce de détail
sténo-dact.,bureaux de consultation
dessinateur,arts graphiques
menuis.,"bois,liège,meubles"
serrur.,industrie des métaux
charpentier,"construction,charpenterie"
empl. post.,"employés pour tous,célibataires"
tapissier,"bois,liège,meubles"
emp. télégr.,"agences,locations,consultations"
télégr. L.-O.,transports
charpentier,"construction,charpenterie"
m. blanchisseuse,employées pour le ménage et la ferme
affaires immob.,"affaires immobilières,location"
charret.,transports
dessinât.,arts graphiques
surveill.,administration publique
garçon de magasin,commerce de détail
empl. T. L.,"employés pour tous,célibataires"
ouv. de ville,"journaliers,entretien"
garç. de laboratoire,industrie chimique
cont. T. L.,"construction,charpenterie"
empl. de mag.,commerce de détail
menui- sier,"construction,charpenterie"
comm,commerce de détail
ferbl.-lampistes,réparations
m. blan- chiss.,réparations
voyag.,transports
ferblantier,industrie des métaux
chauffeur,transports
contre-maître,industrie du papier
serrur.,industrie des métaux
ferblant.,industrie des métaux
ser- rurier,"employés pour tous,célibataires"
peintre,arts graphiques
prof.,bureaux de consultation
charb.,industrie du papier
prof. d’anglais,bureaux de consultation
voyageur,transports
chauff. d’auto,transports
direct.,administration publique
grains,produits alimentaires
commis.,commerce de détail
jardin.,"journaliers,entretien"
emp.,"employés pour tous,célibataires"
