job,answer
"41                           adjoint au tribunal
47                        adjoint de gendarmerie
59                        adjoint technique chef
108      administrateur des colonies en retraite
120                            affoireurs de vin
                          ...                   
11248                   électricien sur voitures
11268    élève commissaire messageries maritimes
11269              élève de l'hospice de cambrai
11311                    émailleur de porcelaine
11316                                  émouleuse
Name: titre, Length: 456, dtype: object",administration publique
adjoint au tribunal,administration publique
adjoint de gendarmerie,administration publique
adjoint technique chef,administration publique
administrateur des colonies en retraite,administration publique
affoireurs de vin,produits alimentaires
agent,"agences,locations,consultations"
agent auxiliaire de contributions,administration publique
agent de change près la bourse de lausanne,"banques,établissements financiers"
agent de colonisation,"agences,locations,consultations"
agent de portage,transports
agent de sécurité,administration publique
agent des travaux,"journaliers,entretien"
agent en douanes,administration publique
agent militaire,administration publique
agent principal d'exploitation postes,administration publique
agent télégraphiste,transports
agent à l'rsr,administration publique
agent-voyageur de commerce,commerce de détail
agrumiculteur,produits alimentaires
aide chauffeur,transports
aide couvreur,"construction,charpenterie"
aide machiniste,industrie des métaux
aide-garde-bébé,employées pour le ménage et la ferme
aide-électricien,"gaz,eau,éléctricité"
ajusteur,réparations
ajusteur à la cff,transports
algocultrice,"agences,locations,consultations"
analyste politique,administration publique
ancien charron,industrie des métaux
ancien commis,commerce de détail
ancien employé des chemin de fer,transports
ancien militaire ménager,"employés pour tous,célibataires"
ancien serrurier,industrie des métaux
ancien sous-préfet,administration publique
ancienne commerçante,commerce de détail
antenniste,industrie des métaux
apothicairesse,industrie chimique
appondeur,réparations
armurier,industrie des métaux
artisan chaudronnier,industrie des métaux
artisan litier,"vêtements, lingerie,chaussures,literies"
artisan serrurier,industrie des métaux
artiste funambule,arts graphiques
assembleuse,industrie textile
assistant-technicien,bureaux de consultation
aubergiste et tonnelier,"hôtellerie,restauration"
autoélectricien,réparations
avocat à la cour de lausanne,bureaux de consultation
betteravier,produits alimentaires
biscottier,produits alimentaires
blanchisseur de fils,industrie textile
blaonnier,"bois,liège,meubles"
boiseuse,"bois,liège,meubles"
bonne d'enfants,employées pour le ménage et la ferme
boucher,produits alimentaires
boucher et marchand de vaches,produits alimentaires
bouvière,employées pour le ménage et la ferme
brasseur,produits alimentaires
brigadier des douanes en retraite,administration publique
brigadier national des impôts,administration publique
buffetier,"hôtellerie,restauration"
buronnier,"employés pour tous,célibataires"
bédéiste,arts graphiques
bétuliculteur,"bois,liège,meubles"
cabinettarde,"bois,liège,meubles"
cadre de banque retraité chevalier légion d'honneur,"banques,établissements financiers"
canonnier de marine,transports
canonnier marin,transports
cantinière,"hôtellerie,restauration"
capitaine de navire,transports
capitaine en retraite,administration publique
capitaine propriétaire,transports
cardeur à laine,industrie textile
cariste,transports
cartonnière,industrie du papier
cavalier de la maréchaussée,administration publique
chandelon,"bois,liège,meubles"
chanteur ambulant,arts graphiques
chanvrier,"construction,charpenterie"
charcutier,produits alimentaires
chargeur de pain,produits alimentaires
charpentier sur fer,"construction,charpenterie"
charpentier à bateaux,"construction,charpenterie"
charpentier-menuisier,"construction,charpenterie"
charron et carrossier,"construction,charpenterie"
chaudronnier monteur traceur,industrie des métaux
chauffeur automobile,transports
chef d'escadron au régiment d'artillerie,administration publique
chef d'équipe aux chemins de fer,transports
chef de bataillon vicomte,administration publique
chef de brigade de gendarmerie,administration publique
chef de district aux chemins de fer,transports
chef de groupe comptable,"banques,établissements financiers"
chef de secrétariat,administration publique
chef gendarme,administration publique
chef jardinier communal,"journaliers,entretien"
chemisier,"vêtements, lingerie,chaussures,literies"
chercheur d’or,industrie des métaux
chevalier de l'ordre saint-jean de jérusalem,administration publique
chevalier et sieur de beaurepaire,administration publique
chicoretier,produits alimentaires
chirurgien-accoucheur,réparations
cocher au château,"employés pour tous,célibataires"
coiffeur,commerce de détail
commerçant artisan,commerce de détail
commerçant forain,commerce de détail
commis convoyeur,transports
commis herboriste,industrie chimique
commis marchand de porcs,commerce de gros
commissaire de la marine,administration publique
commissionnaire en bestiaux,"employés pour tous,célibataires"
commissionnaire à la marine,transports
compositeur lithographe,arts graphiques
comptable à la banque nationale,"banques,établissements financiers"
comtesse,administration publique
conducteur,transports
conducteur de machines,industrie des métaux
conducteur receveur,transports
conseiller agricole,bureaux de consultation
conseiller financier,"banques,établissements financiers"
conseiller provincial,administration publique
conseiller pédagogique,bureaux de consultation
conseiller technique,bureaux de consultation
conservateur des estampes au ministère des beaux arts,arts graphiques
contre-maître,administration publique
contremaître menuisier,"construction,charpenterie"
contremaître à la filature de coton,industrie textile
coquassier,produits alimentaires
cordonnier et aubergiste,"hôtellerie,restauration"
couleur en zinc,industrie chimique
coupeur de chemises,industrie textile
coupeur de tabac,industrie du papier
courrier aux postes et télécommmunications,transports
couturière à façon,"vêtements, lingerie,chaussures,literies"
couvreur de cylindres,industrie du papier
couvreur en ardoises,"construction,charpenterie"
couvreuse,industrie textile
crêmier,produits alimentaires
cultivateur-charron,"construction,charpenterie"
demoiselle de compagnie,employées pour le ménage et la ferme
dessinateur architecte,arts graphiques
dessinateur en bâtiment,arts graphiques
dessinateur à l'électricité de suisse,arts graphiques
directeur d'exploitation,administration publique
directeur d'hospice,administration publique
directeur d'université,administration publique
directeur d'école publique,administration publique
directeur de l'enregistrement,administration publique
directeur de la caisse départementale des incendies de côte,administration publique
directeur de la colonie de courcelles,administration publique
directeur des impôts,administration publique
directeur général du domaine impérial de cette colonie,administration publique
directeur général à la csr des deux-rivières,administration publique
docteur en médecine et syndic,administration publique
domestique rural,employées pour le ménage et la ferme
débitant de vins,commerce de détail
découpeur,industrie textile
ecrivain public,bureaux de consultation
electricien à l'alcan,"gaz,eau,éléctricité"
emballeur,commerce de détail
