Année,Produits alimentaires,"Vêtem., lingerie, chauss., literie",Industrie textile,Industrie du papier,Arts graphiques,Industrie chimique,"Bois, liège, meubles",Pierre et terre ,Industrie d. métaux(2),Horlogerie,"Bijouterie, gravure, frappe",Total,"Construct., charpenterie","Gaz, eau, éléctricité",Commerce de gros,Commerce de détail,"Banques, établissments financ. ",Assurances privées,"Agences, location, consultation","Affaires immobilières, location ",Bureaux de consultation,"Hôtellerie, restaurants",Transports,Administration publique,Réparations,Vachers célibataires ,"Employés pour tous travaux, célibataire",Employées pour le ménage et la ferme,Journaliers; dans la salaire y compris l'entretien,Journalières dans la salaire y compris l'entretien
1890,108.921199167558,103.270150177176,104.821418527477,112.245345632489,107.037516170764,120.66651667698,99.2811744192595,107.813150345915,104.544406322066,103.87957702908,110.583272400023,107.591540581586,101.774284267957,115.181675009844,105.707857584792,99.3365768603417,116.954553124474,104.322796557738,111.857528544914,91.0646748131615,106.972585921343,80.2970751174877,101.82968670904,113.654990757603,89.2790929540799,35.7899769390858,28.6984644805672,21.1083300523091,1.5097165194893,1.14683053040104
1891,111.1327971202,105.367006018338,106.949772203163,114.524438944824,109.210866752912,123.116598233873,101.297035828788,110.002249845325,106.667135384444,105.988807019519,112.828618032512,109.77614039035,103.840767197257,117.520389223243,107.854210023063,101.353563192532,119.329264863042,106.441025929469,114.128747398618,92.9137037433786,109.144618122792,81.9274725818027,103.897294561001,115.962706305981,91.0918664150771,36.5166769784583,29.2811744192591,21.5369255863663,1.54037066201701,1.17011642949549
1892,112.238596096518,106.415433938917,108.013949041003,115.66398560099,110.297542043984,124.341639012318,102.304966533551,111.096799595028,107.728499915631,107.043422014736,113.951290848754,110.86844029473,104.874008661904,118.68974632994,108.927386242196,102.362056358625,120.516620732325,107.500140615333,115.264356825468,93.8382182084853,110.230634223515,82.7426713139586,104.931098486979,117.116564080168,91.9982531455739,36.8800269981439,29.5725293886045,21.7512233533944,1.55569773328084,1.18175937904269
1893,113.344395072837,107.463861859495,109.078125878844,116.803532257155,111.384217335056,125.566679790762,103.312897238313,112.191349344731,108.789864446818,108.098037009954,115.073963664996,111.96074019911,105.907250126552,119.859103436637,110.000562461329,103.370549524719,121.703976601607,108.559255301196,116.399966252318,94.7627326735921,111.316650324237,83.5578700461145,105.964902412957,118.270421854355,92.9046398760707,37.2433770178294,29.8638843579499,21.9655211204226,1.57102480454466,1.19340232858989
1894,117.214691489961,111.133359581529,112.802744811295,120.791945553744,115.187580853817,129.854322515328,106.84065470499,116.0222734687,112.504640305979,111.789189493223,119.003318521852,115.783789864447,109.523595252827,123.951853310085,113.756679228304,106.900275606053,125.859722144103,112.266156701727,120.374599246302,97.9985333014729,115.117706676775,86.4110656086665,109.58321615389,122.308924064019,96.0769934328166,38.5151020867317,30.883626750661,22.7155633050229,1.62466955396817,1.23415265200518
1895,119.426289442602,113.230215422691,114.93109848698,123.071038866079,117.360931435965,132.304404072221,108.856516114518,118.21137296811,114.627369368357,113.898419483662,121.248664154341,117.968389673211,111.590078182126,126.290567523484,115.903031666574,108.917261938243,128.234433882672,114.384386073459,122.645818100007,99.84756223169,117.289738878224,88.0414630729815,111.650824005851,124.616639612397,97.8897668938137,39.2418021261042,31.4663366893529,23.1441588390801,1.65532369649588,1.25743855109962
1896,122.190786883403,115.851285224142,117.591540581586,125.919905506498,120.077619663649,135.367006018337,111.376342876428,120.947747342371,117.280780696328,116.534956971709,124.05534619495,120.699139434165,114.173181843749,129.213960290231,118.585972214411,111.43849485348,131.202823555882,117.032172788122,125.484841667137,102.15884839446,120.004779130035,90.0794599033745,114.235333820801,127.501284047869,100.155733720059,40.1501771753196,32.1947241127175,23.6799032566513,1.69364137465551,1.28654592496767
1897,124.678834580124,118.210248045448,119.985938466732,128.483885482874,122.522639068565,138.123347769842,113.644186962148,123.410484279207,119.668850891503,118.907840710952,126.581360031499,123.156814219024,116.49797513921,131.845013780304,121.000618707465,113.707604477193,133.874374261771,119.415180831319,128.039962877554,104.239005940954,122.448315356665,91.9136570507285,116.561392654256,130.097464039795,102.195103863681,40.9677147196135,32.8502727937458,24.1620732324655,1.72812728499918,1.31274256144892
1898,127.166882276845,120.569210866755,122.380336351877,131.047865459251,124.967658473482,140.879689521347,115.912031047867,125.873221216043,122.056921086677,121.280724450196,129.107373868048,125.614489003883,118.822768434672,134.476067270377,123.415265200519,115.976714100907,136.54592496766,121.798188874516,130.595084087971,106.319163487448,124.891851583294,93.7478541980825,118.887451487712,132.69364403172,104.234474007302,41.7852522639074,33.5058214747741,24.6442432082798,1.76261319534284,1.33893919793016
1899,128.272681253164,121.617638787333,123.444513189718,132.187412115417,126.054333764554,142.104730299792,116.919961752629,126.967770965746,123.118285617864,122.335339445413,130.23004668429,126.706788908262,119.856009899319,135.645424377074,124.488441419652,116.985207267,137.733280836942,122.85730356038,131.730693514821,107.243677952555,125.977867684017,94.5630529302384,119.92125541369,133.847501805907,105.140860737799,42.148602283593,33.7971764441194,24.8585409753079,1.77794026660667,1.35058214747736
