JOB,job_clf,salaire,POS,COOR
maçon,"construction,charpenterie",394.1816187637103,"8, Avenue William-Fraisse, Lausanne, District de Lausanne, Vaud, 1001, Schweiz/Suisse/Svizzera/Svizra","(46.5159931, 6.6255561)"
margeuse,industrie textile,405.9834636368753,"23bis, Rue du Maupas, Lausanne, District de Lausanne, Vaud, 1002, Schweiz/Suisse/Svizzera/Svizra","(46.5243268, 6.6246218)"
maçon,"construction,charpenterie",394.1816187637103,"Rue Marterey 34 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.53034537806692, 6.656622455324942)"
maçon,"construction,charpenterie",394.1816187637103,"Rue Marterey 34 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.50883164638732, 6.629380262134799)"
maçon,"construction,charpenterie",394.1816187637103,"14, Rue du Lac, Lausanne, District de Lausanne, Vaud, 1006, Schweiz/Suisse/Svizzera/Svizra","(46.507495, 6.6257703)"
men,"vêtements, lingerie,chaussures,literies",399.9752517014458,"Rue Cheneau-de-Bourg 1 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.53472099518278, 6.656578805390185)"
men,"vêtements, lingerie,chaussures,literies",399.9752517014458,"Rue Cheneau-de-Bourg 1 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.535331281506245, 6.658856405692372)"
men,"vêtements, lingerie,chaussures,literies",399.9752517014458,"Rue Cheneau-de-Bourg 1 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.51698451649061, 6.649557644285832)"
régisseur,"agences,locations,consultations",433.2349963440017,"Avenue d'Echallens 68 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.52393073553077, 6.656744589383335)"
régisseur,"agences,locations,consultations",433.2349963440017,,
plieuse,industrie du papier,434.73704932785904,,
empi,"employés pour tous,célibataires",111.1519208054447,,
tanneur,industrie chimique,467.3530569773332,"47, Boulevard de Grancy, Lausanne, District de Lausanne, Vaud, 1006, Schweiz/Suisse/Svizzera/Svizra","(46.5163803, 6.6254147)"
empi,"employés pour tous,célibataires",111.1519208054447,"59, Rue du Maupas, Lausanne, District de Lausanne, Vaud, 1004, Schweiz/Suisse/Svizzera/Svizra","(46.5255794, 6.6239042)"
"empi, postal",transports,394.39619776140415,"16, Avenue de Florimont, Lausanne, District de Lausanne, Vaud, 1006, Schweiz/Suisse/Svizzera/Svizra","(46.5149608, 6.6392598)"
agric,employées pour le ménage et la ferme,81.75459812137922,"Avenue de la Sallaz 2a Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.52936891549672, 6.65682536174722)"
empi,"employés pour tous,célibataires",111.1519208054447,"Avenue de Riant-Mont 2 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.52182904081607, 6.656954411151179)"
man,"employés pour tous,célibataires",111.1519208054447,"Avenue de la Gare 42 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.53296257440171, 6.65689074155565)"
vigneron,produits alimentaires,421.8623094662245,"Boulevard de Grancy 47 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.55786834052, 6.682400128486887)"
épicier,commerce de détail,384.7401428651783,"59, Rue du Maupas, Lausanne, District de Lausanne, Vaud, 1004, Schweiz/Suisse/Svizzera/Svizra","(46.5255794, 6.6239042)"
chimiste,industrie chimique,467.3530569773332,,
men,"vêtements, lingerie,chaussures,literies",399.9752517014458,"Rue Marterey 1 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.562140413566205, 6.682448522941598)"
ménag,employées pour le ménage et la ferme,81.75459812137922,"1, Avenue Charles-Secrétan, Chailly, Lausanne, District de Lausanne, Vaud, 1005, Schweiz/Suisse/Svizzera/Svizra","(46.5208249, 6.6440204)"
jardinier,"journaliers,entretien",5.847277687159012,"4, Chemin du Closelet, Lausanne, District de Lausanne, Vaud, 1006, Schweiz/Suisse/Svizzera/Svizra","(46.5145665, 6.6325193)"
gypsier,réparations,345.78653768508855,"24, Avenue Montagibert, Lausanne, District de Lausanne, Vaud, 1005, Schweiz/Suisse/Svizzera/Svizra","(46.5235857, 6.6445751)"
gypserie et peinture,"construction,charpenterie",394.1816187637103,"Promenade de la Solitude, Lausanne, District de Lausanne, Vaud, 1005, Schweiz/Suisse/Svizzera/Svizra","(46.5218971, 6.6385195)"
menuisier,"bois,liège,meubles",384.5255638674845,"Place de la Gare 1 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.54602315633281, 6.682691558794953)"
rentière,"affaires immobilières,location",352.70226843879027,,
commis,commerce de détail,384.7401428651783,"Avenue du Léman 20 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.54947474174132, 6.693466204302441)"
coutur,"vêtements, lingerie,chaussures,literies",399.9752517014458,"Rue de la Pontaise 16 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.520684021198576, 6.608387990172627)"
blanchiss,réparations,345.78653768508855,"22, Chemin des Fleurettes, Lausanne, District de Lausanne, Vaud, 1007, Schweiz/Suisse/Svizzera/Svizra","(46.517561, 6.6216309)"
sommelière,"hôtellerie,restauration",310.9983163179827,"Rue du Pont 3 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.53142321739256, 6.608226913167818)"
sommelière,"hôtellerie,restauration",310.9983163179827,"Rue du Pont 3 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.56326268766265, 6.59527212816296)"
sommelière,"hôtellerie,restauration",310.9983163179827,"Rue du Pont 3 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.51428852293261, 6.627894494112348)"
sommelière,"hôtellerie,restauration",310.9983163179827,"Rue du Pont 3 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.51677585000178, 6.635353728555777)"
sommelière,"hôtellerie,restauration",310.9983163179827,"Rue du Pont 3 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.52621079840446, 6.6275726552195104)"
"voyageur decommerce,",commerce de détail,384.7401428651783,"Avenue Louis-Ruchonnet 12 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.51575003497422, 6.630346190229553)"
pasteur,employées pour le ménage et la ferme,81.75459812137922,"Avenue des Mousquines 18 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.52988713163072, 6.630140926322871)"
pasteur,employées pour le ménage et la ferme,81.75459812137922,"Avenue des Mousquines 18 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.51161171091781, 6.63895454076583)"
diaconesse,employées pour le ménage et la ferme,81.75459812137922,"Hôpital de la Mercerie, 24, Rue Mercerie, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.5214242, 6.6355102)"
